Country,CountryCode,FDI,energy,trees,CO2aggregate,export,trade,import,GDP,Fuelimports,CO2
Mexico,MEX,2.338228311,10.34,33.85881839,449269.989,38.80928133,73.10177041,39.06397918,-1.269321979,8.826560077,3.521600048
Marshall Islands,MHL,1.744423003,11.7,52.22222222,180.0000072,37.8727415,51.36510063,110.8921993,5.957171986,0,3.061693238
North Macedonia,MKD,4.358924934,16.32,39.71015067,8300.000191,62.40805679,132.1557411,76.16817505,3.886552146,10.2557971,3.996737213
Mali,MLI,4.971522456,76.64,10.89666363,5829.999924,25.70529113,50.97726937,37.95341163,1.663955253,29.22507261,0.29657102
Malta,MLT,26.54462262,7.7,1.4375,1659.999967,146.0791878,67.21587443,129.2530164,1.780103596,25.4435352,3.293245606
Myanmar,MMR,2.526413422,57.85,44.17588479,36720.00122,30.38975072,53.25501201,30.2992385,6.084612683,19.77488931,0.679428523
Montenegro,MNE,7.53472941,38.74,61.48698885,2599.999905,43.84664144,60.87833891,64.99794262,4.096236943,10.92200122,4.179875994
Mongolia,MNG,17.19893953,3.32,9.101825131,23069.99969,59.21723318,96.77356452,65.17928144,3.802940082,22.18909464,7.153120086
Mozambique,MOZ,21.95790981,78.08,47.00794781,7500,32.26836152,78.60283042,79.73055894,-0.616865368,20.51529256,0.246986412
Mauritania,MRT,-11.19898252,24.7,0.308819249,3950.000048,39.18475991,73.33653742,50.00098058,2.899922064,29.66558377,0.872793555
Mauritius,MUS,3.161638933,8.94,19.07881773,4170.000076,38.47033842,55.66785144,53.66901219,2.979170025,18.46793537,3.294591006
Malaysia,MYS,2.506299941,5.11,58.32959976,253270.0043,65.25966318,121.3308675,57.734779,3.06077626,14.54585791,7.927126037
Namibia,NAM,-1.406963244,30.69,8.150117213,4219.99979,36.36164722,114.340807,47.37605654,-2.758263063,12.10868008,1.691705428
Niger,NER,5.552201672,80.83,0.862177311,2150.000095,11.42173345,26.72559891,26.29263208,1.997062626,4.247578729,0.092232251
Nigeria,NGA,0.514392932,81.4,23.92508537,115279.9988,14.22092679,26.28489853,19.80295104,-0.379752402,15.51726143,0.573636206
Nicaragua,NIC,3.993129581,50.71,29.14683397,5239.999771,45.09278034,97.31963326,49.58319552,-4.955918716,13.55183888,0.800549594
Netherlands,NLD,-3.713486185,8.54,10.94653995,146339.9963,82.5377127,147.6908754,72.73296394,1.289889121,14.27802396,8.437074627
Norway,NOR,4.032639237,62.37,33.33990698,35950.00076,36.26310656,46.45561479,34.7812983,0.067992626,6.622978887,6.722269985
Nepal,NPL,0.542801816,77.39,41.59072201,13449.99981,7.779936474,38.92799874,41.46959011,4.744512715,17.40588162,0.470136453
New Zealand,NZL,1.368582497,29.65,37.46731989,34009.99832,27.31883186,38.36304469,27.02003599,0.57930066,11.0804773,6.830414187
Pakistan,PAK,0.696146445,43.36,4.886934413,190570.0073,9.390863379,22.9538242,19.51471242,0.444975728,28.81432492,0.879965499
Panama,PAN,6.645170487,18.91,56.95942303,13340.00015,41.20799334,48.98153402,43.7743467,1.292536242,10.86740552,3.141454996
Peru,PER,2.084917895,27.12,56.643125,56750,24.03908743,39.53425817,22.90441794,0.601543694,14.07615369,1.745591927
Philippines,PHL,2.301175741,26.73,23.99201798,145419.9982,28.38292001,48.62836518,40.45892225,4.680376447,12.00678244,1.345029057
Poland,POL,2.820282627,12.18,30.93985822,295130.0049,55.39584659,89.04977517,50.63947786,4.770539442,8.126049337,7.773641839
Portugal,PRT,4.300252034,28.19,36.15499489,44639.99939,43.50842185,65.25397229,43.05629556,2.658392093,11.37017883,4.339768426
Paraguay,PRY,0.9067875,60.09,41.23231815,8210.000038,36.18244072,54.08521296,35.14521459,-1.65407082,13.41223677,1.165425232
