Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,1152.609985,1161.469971,1030.000000,1035.380005,1035.380005,0
2010-02-01,1041.030029,1116.229980,1028.300049,1102.939941,1102.939941,0
2010-03-01,1108.319946,1195.869995,1108.319946,1172.630005,1172.630005,0
2010-04-01,1178.640015,1258.069946,1163.109985,1205.670044,1205.670044,0
2010-05-01,1211.250000,1230.250000,1055.989990,1125.400024,1125.400024,0
2010-06-01,1118.270020,1184.800049,1047.939941,1050.119995,1050.119995,0
2010-07-01,1050.989990,1169.719971,1028.560059,1138.969971,1138.969971,0
2010-08-01,1151.050049,1168.060059,1058.069946,1063.910034,1063.910034,0
2010-09-01,1080.829956,1235.750000,1080.420044,1214.530029,1214.530029,0
2010-10-01,1222.660034,1317.920044,1188.640015,1310.869995,1310.869995,0
2010-11-01,1319.150024,1362.939941,1286.819946,1315.229980,1315.229980,0
2010-12-01,1337.949951,1400.839966,1337.849976,1383.949951,1383.949951,0
2011-01-01,1397.079956,1484.390015,1387.099976,1436.040039,1436.040039,0
2011-02-01,1450.189941,1529.800049,1428.219971,1480.109985,1480.109985,0
2011-03-01,1486.369995,1498.579956,1356.380005,1454.459961,1454.459961,0
2011-04-01,1462.680054,1502.339966,1405.989990,1494.880005,1494.880005,0
2011-05-01,1500.650024,1503.420044,1414.069946,1472.530029,1472.530029,0
2011-06-01,1467.719971,1473.349976,1309.479980,1393.829956,1393.829956,0
2011-07-01,1395.089966,1445.030029,1318.040039,1327.630005,1327.630005,0
2011-08-01,1344.839966,1350.489990,1118.520020,1240.010010,1240.010010,0
2011-09-01,1243.880005,1291.339966,1153.959961,1171.069946,1171.069946,0
2011-10-01,1164.410034,1392.920044,1122.150024,1355.839966,1355.839966,0
2011-11-01,1316.839966,1397.619995,1229.630005,1330.219971,1330.219971,0
2011-12-01,1329.219971,1357.239990,1240.150024,1300.560059,1300.560059,0
2012-01-01,1330.000000,1437.349976,1302.780029,1423.359985,1423.359985,0
2012-02-01,1444.150024,1518.540039,1437.170044,1488.339966,1488.339966,0
2012-03-01,1493.770020,1559.130005,1441.619995,1545.290039,1545.290039,0
2012-04-01,1541.550049,1557.180054,1428.239990,1476.819946,1476.819946,0
2012-05-01,1476.449951,1497.719971,1293.609985,1306.369995,1306.369995,0
2012-06-01,1297.329956,1372.729980,1257.869995,1356.489990,1356.489990,0
2012-07-01,1358.930054,1368.489990,1253.069946,1346.000000,1346.000000,0
2012-08-01,1354.329956,1437.150024,1327.699951,1388.209961,1388.209961,0
2012-09-01,1385.229980,1445.719971,1360.430054,1391.579956,1391.579956,0
2012-10-01,1397.640015,1414.430054,1306.859985,1309.219971,1309.219971,0
2012-11-01,1315.719971,1369.959961,1268.400024,1352.640015,1352.640015,0
2012-12-01,1360.119995,1438.800049,1344.130005,1394.750000,1394.750000,0
2013-01-01,1427.910034,1512.800049,1421.189941,1487.859985,1487.859985,0
2013-02-01,1499.180054,1517.319946,1456.790039,1483.010010,1483.010010,0
2013-03-01,1475.329956,1538.569946,1465.939941,1524.439941,1524.439941,0
2013-04-01,1522.859985,1534.579956,1442.010010,1524.589966,1524.589966,0
2013-05-01,1523.130005,1599.229980,1508.829956,1575.160034,1575.160034,0
2013-06-01,1577.619995,1595.400024,1502.489990,1552.819946,1552.819946,0
